ИНДЕКС 1,"Угол нашивки, град",Шаг нашивки,Плотность нашивки,Соотношение матрица-наполнитель,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2"
56,0,"5,6469143986","75,9523106859","4,6169895684","1907,2408813839","854,9118784892","107,6339656803","26,260992774","294,7507580902","465,5104287369","74,9551385126","2708,0922867869","249,4255701652"
57,0,"6,2550576844","32,878738287","4,2563763274","1985,4362738917","481,4670087934","86,2580477766","21,35104303","240,0937941365","61,3178549318","71,5960274616","3156,3001032844","279,6464434412"
58,0,"7,3104375159","63,8613060667","4,4673503811","2045,9199842478","707,0640662166","40,3048056934","22,2303471856","239,5768756898","646,0742216564","73,8029667671","2718,5050482944","268,6445475392"
59,0,"5,2568990929","67,1830562484","3,1181762225","1892,7578001653","968,1791713361","162,4654467101","23,9675428208","260,189897199","173,8128116592","71,1835610478","2002,0439080037","187,8901642904"
60,0,"2,3026551332","65,8076490391","2,6765644382","2053,4297826253","259,3577361323","106,1954394354","20,3113391841","300,7545841105","417,1432836796","71,1875536034","2145,0158811636","304,4288707643"
61,0,"6,7936773842","47,2949834577","3,1757648689","1970,5181388289","724,5798591205","151,4166841856","22,2063665946","313,6272067414","411,4467711859","73,5543672416","2505,3254858091","205,202797305"
62,0,"6,281149677","72,2928799487","2,0977464408","2019,0659656529","1081,4126600427","135,9492764384","21,4973031318","362,8773623266","34,4889064368","74,2967008623","2860,2709609966","186,5556617417"
63,0,"4,9850833494","38,3073423209","4,7947106273","1917,7836007101","764,7871062156","91,6603001689","22,6763903716","317,4736481575","422,0702439546","69,0762520458","2250,2111199647","321,1459019097"
64,0,"6,1913302964","31,8041411568","2,5619173844","1956,587188413","411,1602001516","84,2889186459","26,3858597471","264,9638764752","672,3649801432","70,102894497","3004,696571992","194,8530569665"
65,0,"7,7827112878","54,6338176228","1,7051937885","1993,6240867953","334,8934060863","115,482321185","24,4611335687","302,3484964977","168,5990670102","73,7811776825","1624,7205330023","283,2890072328"
66,0,"13,1990069942","66,363022872","4,4141611969","2014,6233180531","607,0616346644","104,0978589322","20,7786343232","227,5133105907","654,548803324","77,0465882211","2241,4636114578","281,2709278476"
67,0,"5,0828556261","50,4058477881","3,4528211499","1868,3487451913","576,5036581928","87,3869345313","23,3224226503","291,3390686686","338,9371405847","73,5938171327","2957,9155138166","228,9117241635"
68,0,"10,6228863711","47,5497714801","2,6819405089","1843,1825623442","1185,9931496877","106,8238077952","19,3327000435","320,3630185773","75,2400195451","71,2150322767","3377,3280442779","92,4478651"
69,0,"4,7958623123","37,4047624989","3,1200216826","2042,2802833743","600,7696210577","88,4130126457","23,0854223168","280,6431820178","324,2794022749","69,5260148149","2164,3889355658","138,2247207667"
70,0,"5,1829353345","79,5140703115","3,7251519199","2009,3987204436","962,7741863744","148,3163857597","16,869669635","289,236169592","398,9198377424","69,2046420072","1337,424692334","172,5492688996"
71,0,"7,4217041498","58,2385036038","2,0012337809","2008,3107203021","53,5822776312","111,2592752651","22,7850763747","309,5798042601","887,0942949138","72,4865459843","2835,5711428293","141,5984160131"
72,0,"4,5459247021","63,3257037998","2,5388687019","1929,6775307748","1143,7871129136","161,5577406861","22,725194244","303,5300895971","894,3549234117","75,3210982301","1934,3160328829","131,9221890464"
73,0,"5,0813573688","62,4221341358","4,1809111484","2068,2673908215","844,9055653978","117,8572373079","18,0395915889","347,6084141946","404,6459345595","69,6004028193","3134,1034982233","219,9953512558"
74,0,"8,4890602267","23,8981957703","3,1266605963","1985,3763267493","1039,3859684962","122,0279504855","22,6877653305","247,0906864282","202,395245625","67,6480612318","1780,6313863827","198,6857950259"
75,0,"4,5684626049","52,640574691","2,3933555968","2053,9283180202","710,8519285219","134,9575475472","22,130448487","304,8329992377","361,1063409419","72,0474413284","2802,1780581639","234,208913634"
76,0,"9,2455854312","40,6081026886","1,9400214113","1969,6236123158","1251,7899056538","92,4193283683","22,2446691753","291,9357343946","565,3395081322","69,1815991618","2757,1303034868","211,9126303224"
77,0,"11,6440483301","34,929571712","2,9658117926","1952,0178976549","105,154466534","104,4866774996","23,8987280424","308,4739887991","808,8062640142","75,825484165","1400,3579321796","300,4996276858"
78,0,"6,8450363529","49,7538584338","4,4331755468","1949,4545872247","638,9397970871","114,528376345","25,7988298981","281,1143908148","293,4444518771","76,8360634066","2331,4695269184","147,0070665567"
79,0,"7,9841456273","51,0588681799","2,896835912","1929,5201853304","386,7931822846","147,3043271454","22,5293840479","306,8541969019","207,5211573489","69,0941856872","1869,9800885384","138,9677122134"
80,0,"4,5164993331","45,9672825208","2,5262078526","1990,6252616211","469,6921377704","107,5817458582","25,1264946875","325,1588794818","451,8643651831","71,7098961372","2004,9327861335","195,9785901841"
81,0,"5,7643770289","73,3535262214","3,7116755351","1835,9460653769","1312,2665024973","115,4953901282","24,1676319674","259,258200769","7,0953540126","75,0632223882","2840,9348525189","228,5086532088"
82,0,"2,0812943068","58,9133232112","3,4371928777","1878,494028581","1129,2518001018","142,1307590486","24,5343570281","246,8093605144","489,9882859953","71,4313833014","2010,3343388636","156,2633662936"
83,0,"8,7254368582","67,0117081237","2,9525263862","2014,7552494694","971,0800343906","99,7579909083","20,2086361361","297,1469477636","574,7860730993","69,9339583428","2902,5091555857","244,0354783705"
84,0,"6,5811728392","29,9490724288","2,9033048226","2019,6011349169","278,1067204605","96,0452717071","19,7153238418","303,8187710399","1021,6100939376","77,9765608092","1604,1445022462","241,3183613616"
85,0,"4,7642291002","70,495157904","4,4571199881","2017,2044178019","980,1892301934","99,6750327931","25,7224493201","292,1016847861","300,2602024087","73,7828278686","2546,3519623624","192,1589076367"
86,0,"6,3042497488","58,4019728381","1,0443614711","1948,3952377018","1072,0103959914","126,0276853192","21,3449149328","356,5307115991","221,2336542211","69,3453726996","2436,6915081748","172,9696608303"
87,0,"5,5926134052","84,8408875377","2,5271022013","2021,8563952859","881,1371499196","132,6535248772","22,4472819944","255,1909454949","194,049749142","72,2711830029","3214,534809346","220,5579078684"
88,0,"9,0251197819","55,9738630864","3,3194234715","2075,2212026304","78,9143236439","140,9389717193","24,3704754933","261,4869316465","1013,0296061792","74,2735490653","2044,043573255","301,7657543925"
89,0,"10,1177506111","71,5947062989","3,8583946211","1873,6301543204","981,8632291927","102,4293781461","19,8395923863","244,8023864128","876,8275413291","75,97148931","1913,0492889647","192,1973708958"
90,0,"10,991703081","38,1153985582","2,1436166814","1924,8648321671","957,3782901845","116,7536263531","21,9788140952","334,3330670901","679,9502168393","67,026508225","2133,5911467886","111,0565227288"
91,0,"10,3302155269","64,5699889937","2,0413521646","1967,0375265755","457,1271949479","131,2154890402","21,8451439022","341,4126748132","812,6293117941","76,0015279368","2573,6325559037","239,2412722246"
92,0,"7,0166224225","48,6676443865","3,5524180485","1986,5524399633","818,1351944543","102,6149623095","17,7515310836","256,3359296838","414,2126546588","72,5137471809","2427,7269226661","277,7468983346"
93,0,"7,5343572057","37,4951361341","4,2719768525","1876,1680457001","560,96095089","63,5118456398","26,0390889169","289,4943157394","237,6881718945","76,4398406424","2155,8622848975","188,7568242955"
94,0,"7,3881667736","45,459778159","1,6209299773","2110,5664369976","124,1337400286","191,0530037187","21,5902946587","280,1204684329","4,099043401","72,6804124382","1461,448845162","171,9886047837"
95,0,"11,8917707306","49,361683209","3,8334052223","1921,9176394927","1343,6008674888","126,9191515026","21,2453708728","303,8429139152","49,9757613999","70,6786915021","3077,869396488","208,929445658"
96,0,"9,1964505177","49,1301869237","2,6077641787","2009,0343080866","250,5470723048","79,3468498324","21,8742569561","206,0051277006","550,1024157449","74,3708693251","2018,1782471455","174,3497647179"
97,0,"9,4543502182","38,7542098555","3,4653184071","2009,7970847204","1061,4075159938","71,4207934902","22,0118308689","345,9527496005","463,4115005196","69,1627659822","3051,0409086093","159,9589347839"
98,0,"1,4503747277","54,9889347529","2,148557714","1978,5531604784","905,1152957858","144,1600977537","21,0156185021","313,0234671983","355,2914534744","69,5606356075","3277,6608532461","175,9016280411"
99,0,"4,4022475927","48,9590839235","3,9528341439","1931,6878938474","348,354645229","108,4035710294","22,9516902903","208,0419413744","97,5453577327","71,8079548503","3725,1907600735","134,3925545383"
100,0,"4,5128254976","46,7754687344","3,5658549379","2207,7734806112","696,1491629661","94,1876128613","23,562884632","291,803991355","384,6293927956","68,7844728195","2596,6852506113","402,1638092196"
101,0,"7,206614625","41,3884372311","3,1078854375","1988,3019658261","177,0344947493","52,0743636289","16,9770831605","292,0729667703","793,8341350313","75,1027470705","2371,3731320694","172,9957104402"
102,0,"9,5934645122","35,8816026588","3,9916328293","1881,6164873295","663,3329206283","123,5061668711","28,3249680236","220,2256039402","363,1280132501","71,8146156","2323,7121770496","314,6988656831"
103,0,"9,3124629314","71,4878269317","2,3191663315","1825,9524970441","901,7082223534","112,5563225367","20,4355565439","278,4289928509","495,4834042096","72,3255877088","2401,5223186247","128,4719038553"
104,0,"0,2396603178","69,1533524116","2,4034275396","2018,959131184","9,986209924","59,1746537275","22,50111726","318,1924053756","108,4482294438","69,1157624263","2363,2945459681","222,3073071954"
105,0,"7,8603970383","72,1292287063","2,6839288214","1996,672056359","1071,2099206432","100,7014831645","23,1491680413","288,7582528988","358,3510445664","69,842241654","2446,5686810069","154,4395420818"
106,0,"7,3635993559","69,1723368318","2,3345660135","2020,9764747603","1013,5135962497","109,5051352284","24,3309047611","266,2586218594","719,870002459","68,166533905","3773,1519488153","264,8355844279"
107,0,"10,3700408328","76,1696573775","5,1107805527","1961,3963501209","1074,1313336516","112,3264345439","27,7076817364","266,7436788602","695,8459988055","71,5265120366","2381,1898716791","280,5321008965"
108,0,"6,7075225528","49,2428305203","4,1780669455","1932,7550482817","723,7833211511","108,0454730845","19,4753971234","227,6559402865","82,2170449397","78,1433073975","3307,2444496117","202,9284742721"
109,0,"9,9030895117","45,3194298073","3,6486926629","2008,2693114133","962,2783620712","119,5097234798","18,2179815949","303,8401264829","12,0404868498","73,3896392421","2684,3125825954","207,3455682066"
110,0,"3,708515183","78,3800055468","3,4901617369","1986,3401101949","1257,7790030424","93,7485541277","24,5932719991","338,1013587378","76,6826934075","76,1793827185","2605,9496338703","261,8194678293"
111,0,"6,5831230975","50,0520985621","3,6151814021","1868,4126313699","800,3490640329","149,2745632527","21,7752731456","282,2656595209","89,0740712925","74,1700875711","2543,236909022","156,385476166"
112,0,"4,3783065959","84,1327782307","2,9198888242","1910,9314338907","556,7891489243","136,6286571483","21,5931747132","323,7963157734","339,273301961","68,1875086838","2331,6919121582","189,3292077388"
113,0,"9,4532690698","52,3916690993","3,108043048","1879,0007053156","1106,8257491634","157,076487854","17,0892281048","305,6586351751","1227,2430965145","72,6252131076","1529,6044230796","208,945212268"
114,0,"14,051382818","74,4690023081","3,1534042728","2019,5521591592","1063,7427811585","146,0359493403","23,6959111487","295,7316977316","822,3116338417","70,6487527781","2700,665341133","194,2386702839"
115,0,"6,5879139363","34,4079342345","3,7845337894","2080,4362604308","818,584963242","147,9089609236","23,093714736","270,1434948283","764,9491293115","74,7913199105","2368,1027140124","149,0845611011"
116,0,"5,6805105687","70,7447086273","3,6607870592","2125,2062090309","856,3797072469","120,1931148199","21,5467637578","224,6574762949","270,4576441562","69,7029943205","2953,3667480099","132,0565031375"
117,0,"7,1905383478","92,0421393827","4,1366909764","1944,5183652948","589,6468531605","102,3491348049","19,5805468957","247,7449832237","371,2476561751","80,0753632445","2588,9812815475","346,2761910943"
118,0,"5,8677051049","59,6204256099","3,9731078689","2007,8687729678","691,3888967407","120,6805394126","24,08265335","263,1299878962","298,9244102476","71,6804905461","2192,7650451321","162,8826606659"
119,0,"6,2323191361","77,1403548903","2,9672677471","2038,7284531136","1104,7536314963","137,2963852853","20,3987968326","237,0006995523","430,1078221576","69,2523053357","1706,2611478691","383,663400549"
120,0,"7,5677231136","57,0613571768","4,3794304422","1899,0293214334","329,3860536962","79,833231671","20,0632229827","308,0767248135","34,5476967006","74,5191190556","1994,6746030109","237,5711155436"
121,0,"1,7347440202","67,4873140369","1,6601859659","1959,5967579397","149,6624052659","118,1846663132","19,3311065982","253,3050337709","987,2015601445","78,8681349579","2355,7253676439","171,8104583035"
122,0,"5,5370320726","66,8485361234","2,2178686523","2076,5225711017","177,2329130954","76,9468750349","21,0378424624","307,301226957","712,637196753","73,9829656493","2114,773149935","189,4844005353"
123,0,"5,1363254302","42,3230856221","2,1672172325","2021,8109831831","315,2318573062","95,6416772726","19,4312577784","258,3701685275","131,9816490015","73,3539309386","2494,2142265088","284,1839221797"
124,0,"4,0036231571","35,2813761797","3,2893595315","2061,0144791708","374,1551779986","121,0660504875","20,9817295933","307,840838322","197,6386962534","75,618515007","2454,2021875178","252,9885121758"
125,0,"4,2958566177","40,2377161848","2,9279050878","2012,5499765106","627,0911025608","97,7403584126","23,961702148","280,527319306","237,3610354828","74,0661285838","2170,8324717642","223,8556808683"
126,0,"7,007242316","66,5469468565","2,7913516771","2135,7986794063","1361,9606544496","122,4663367986","22,5324830774","250,1117009085","949,4739295075","67,4553446396","1849,9174646092","326,6677215759"
127,0,"5,454577833","32,7762495845","1,8214918256","2045,5581784418","525,7585203113","121,7546608665","22,5361314376","220,1522392189","877,9232034828","71,5567409672","2078,1943652259","229,1826061295"
128,0,"7,1747278812","49,1606360994","2,848249679","1963,8664668756","1079,951724573","138,8736745242","22,8336445948","294,4940946926","56,1403340229","68,7020387101","2655,4608627853","236,3088848557"
129,0,"4,9296033711","38,2857062993","1,7464578708","1885,7240042363","686,2695350883","106,7046064839","20,5755939753","263,3627964564","182,2255212512","77,0948951165","2364,796770099","256,2832348289"
130,0,"8,9648768167","66,719741998","3,4017608533","1925,4636875207","577,621201359","132,3883600974","23,3737009033","282,1453286697","601,8420067505","72,6223758775","2014,6357879367","176,3080676803"
131,0,"2,271754353","45,713808758","2,7570162478","1986,1314433268","668,4590699481","103,1764432782","21,6278018721","299,0458893877","852,5995845958","76,21410077","2945,9215845574","243,8259707993"
132,0,"4,487835706","45,5600750112","2,967427362","1987,1879479519","418,8778042781","123,3491047861","19,1062922383","305,7126240702","563,9754052411","71,7691924939","2456,3950086604","220,1937140782"
133,0,"4,6073304192","66,6687588343","3,9539783776","2056,2990722923","1428,3823671433","45,122175355","24,8300648561","319,1504645524","558,3004207682","69,0164826584","2574,6762205453","224,0982025426"
134,0,"6,6978383201","64,7980203032","2,9706290026","2060,7561696942","387,0272802408","45,8631257281","21,344371058","305,4804088509","370,0452993898","77,361641032","2471,32329603","257,4956220413"
135,0,"0,3108153381","70,157258759","2,2710324625","1862,4320653824","1428,8703079696","125,557042041","24,0236240895","317,5715913512","293,0852198573","81,5947500139","2419,5207171484","220,4818283615"
136,0,"5,3563124301","40,2344766416","3,0974507223","1938,9628778708","370,0053764545","173,2543262161","23,2765695401","253,4817682274","254,1088818828","74,0749101059","1847,8103975447","323,8765908405"
137,0,"6,8469991695","39,2705652758","3,3245350577","1884,4743209467","517,7968393024","106,0749552166","20,4098816991","297,4533591045","730,2895712774","74,6921910714","2012,9734476082","247,8453599769"
138,0,"4,6459579979","74,8989540869","1,9638823499","1941,755695386","976,0032702665","97,068295395","19,7478221778","242,5233251633","379,6798703062","71,3682118687","2437,943317","190,1262368118"
139,0,"11,3753589896","51,236908007","3,5408059475","1917,6557278445","1588,6772174212","89,8782066369","21,110360299","322,0089547128","246,4707564033","75,1486785451","2569,2667809494","204,1530106397"
140,0,"5,5068401168","98,2026027528","0,7904994311","2054,1238099752","876,7948016512","116,8893911004","23,5649689708","353,5619426873","643,6476600343","70,0802095679","2424,1486127931","247,193190092"
141,0,"2,5117831977","50,3030375614","3,6520043449","2145,260352107","645,8147486305","125,1602573502","23,5513924774","295,1013731136","548,8390592899","76,9920030237","2267,5704904034","165,3323526551"
142,0,"4,8060825094","67,2432458658","2,996154108","2000,0212601437","963,5149858382","128,4133029043","22,4129111716","293,6959026618","252,5521540399","70,9418768395","2140,6631697667","243,7547699008"
143,0,"7,1508855354","48,3159355645","2,7631589236","1910,8525778044","829,6560666456","122,1121287825","21,177746107","295,270984388","430,6823761539","70,5771660535","2203,5811323247","276,5396156281"
144,0,"10,1289361054","50,2600971877","4,8742543572","1974,9177740944","23,6146030004","80,7927476308","20,6218463065","365,1854707671","352,8212237532","75,2193596425","1954,9644426887","293,2567475218"
145,0,"8,425411239","40,7336474811","2,7006392475","1939,3068913658","956,9719480931","100,2108842548","17,2185695823","279,9441611005","360,5107087143","75,1474865444","2086,3319737426","239,4723747007"
146,0,"11,5026462065","54,5908676338","2,5435393426","1949,4232502191","366,7538039885","71,1687979242","23,5543900031","218,5608356361","793,0186516573","73,0177703609","2166,3224071017","208,4830858908"
147,0,"3,1942150219","70,1825571093","2,5168490684","1954,9819885257","710,4071732138","89,6923668989","22,1488600221","313,5661963884","759,4180486662","74,322191362","2558,8753897042","183,1777073477"
148,0,"4,5708923113","78,5473580404","3,2675229671","2107,5491131907","712,1488220569","60,9942606434","27,3121673068","268,4850067739","121,5658016051","81,0532928223","3460,4382119465","340,0166255825"
149,0,"4,0364641797","60,3296802258","1,916842767","2109,4416587792","691,3016847357","116,6065698021","21,61173569","341,7897538723","372,7052896401","72,680025676","2085,8663830466","265,1710391419"
150,0,"6,5746059732","35,0798651564","2,7213310186","2006,4311747995","1135,8860425332","76,1388744184","23,5940982775","262,0643446504","873,2378911998","73,1612268756","2365,1136776295","162,5839032482"
151,0,"7,4215193046","60,0487783288","3,3600843887","2014,3035952945","783,0179970995","58,0547671259","20,7742485025","257,1480285198","581,8560965059","75,4820758015","2628,1558790919","213,5197781346"
152,0,"7,5573870476","58,7326721661","1,493195988","1997,2125546686","1010,7847366242","107,5494564087","17,3005393047","322,5324978684","165,3454487153","72,7759301766","2144,8917333815","160,1154945854"
153,0,"2,2714964686","60,8311741808","2,9298794404","2053,9853786515","911,0584559656","126,7256664886","24,2542364252","285,8111084611","767,3817313245","70,1453885712","1767,3131749786","257,0663680862"
154,0,"5,1673486055","47,2647613529","2,015362587","2028,5962912058","634,8270252395","115,0347944972","23,7037771103","293,8492265661","245,5906103777","80,2544525385","1486,0947939999","185,8300775771"
155,0,"8,4892677608","57,8493992339","3,6387398162","2062,0135308231","945,0302617866","122,2822176209","21,5552559415","223,2674767706","1019,4423938683","70,8545198082","1673,3551459118","163,4332978388"
156,0,"12,0452838049","62,2056352193","2,8295939861","1944,0969322816","1114,8696341695","124,8742760151","22,1329717267","349,3710888578","873,530725473","71,5682039478","1687,6312806662","179,2119870455"
157,0,"5,3857219001","39,4889334141","3,9215788891","1832,5609647427","817,332217346","137,5164552247","20,3873387499","239,6622814615","598,133636329","73,733220852","2798,7968396322","295,4199368855"
158,0,"1,1477527487","65,9447624477","3,0263570556","2114,4345842333","490,4017020194","81,6356852726","20,172200322","294,820681141","553,8110257273","73,6693326349","2450,4916479327","284,1034904301"
159,0,"6,7817712926","43,3376523851","2,7769787234","2021,5275771882","871,9460441105","107,0299153676","20,3880962124","295,5354875584","318,8782720976","72,2051823873","2498,5446494915","216,6390166293"
160,0,"0,3901906958","51,5701393566","2,3145405905","2005,1515546998","905,4736007292","81,7933700224","25,1798942554","265,6520053951","219,8762447218","74,9255548667","2053,6467971079","239,2805758357"
161,0,"5,5106190701","67,6153114857","4,5344099994","1965,8667998438","429,3525885852","128,4020114079","23,9468675027","269,2268861062","1013,4052368884","69,9240699194","1768,4876217345","206,3521773251"
